"","chloramphenicol","gentamicin","trimeth_sulfameth"
"aac3",NA,6,6
"aadA~~~aadA1",4,NA,4
"aadA1",4,NA,4
"aadA3",4,NA,4
"aph6I",6,NA,6
"cas1e",NA,NA,1
"cas2",2,NA,2
"cas6e",2,NA,NA
"ccdB",NA,1,NA
"chrA",NA,5,5
"dfrA12",NA,NA,1
"dsdA",NA,NA,4
"elaD",1,NA,NA
"floR",1,NA,NA
"group_10099",NA,1,NA
"group_10295",1,NA,NA
"group_10428",7,NA,7
"group_10432",NA,NA,5
"group_10461",NA,5,5
"group_10476",4,NA,4
"group_10554",6,NA,NA
"group_10557",NA,1,NA
"group_10621",NA,1,NA
"group_10640",NA,3,NA
"group_10684",NA,1,NA
"group_10710",1,NA,NA
"group_11686",1,NA,NA
"group_1169",NA,1,NA
"group_1171",NA,NA,2
"group_11753",NA,1,NA
"group_11754",NA,1,NA
"group_11756",NA,1,NA
"group_11757",NA,1,NA
"group_11980",1,NA,NA
"group_1234",7,NA,NA
"group_1237",NA,8,8
"group_1331",6,NA,NA
"group_13341",NA,1,NA
"group_13342",NA,1,NA
"group_13343",NA,1,NA
"group_13344",NA,1,NA
"group_13345",NA,1,NA
"group_13346",NA,1,NA
"group_13348",NA,1,NA
"group_13349",NA,1,NA
"group_1462",NA,NA,6
"group_1463",NA,3,NA
"group_1514",NA,13,NA
"group_15598",NA,1,NA
"group_15599",NA,1,NA
"group_15601",NA,1,NA
"group_15602",NA,1,NA
"group_1569",NA,NA,5
"group_16249",NA,NA,2
"group_16250",NA,NA,2
"group_16327",NA,NA,6
"group_16328",NA,NA,4
"group_16330",4,NA,4
"group_16332",8,8,8
"group_16333",6,NA,6
"group_16335",NA,NA,5
"group_16337",7,NA,7
"group_16338",7,7,7
"group_16339",NA,NA,5
"group_16340",NA,6,NA
"group_16341",NA,6,NA
"group_16373",1,NA,NA
"group_16374",1,NA,NA
"group_16375",NA,1,NA
"group_16376",NA,3,3
"group_16377",NA,1,NA
"group_16378",NA,1,NA
"group_16379",NA,2,NA
"group_16380",NA,1,NA
"group_16381",NA,1,NA
"group_16382",NA,1,NA
"group_16383",NA,1,NA
"group_16384",NA,1,NA
"group_164",NA,2,2
"group_16465",5,NA,NA
"group_16468",NA,NA,3
"group_16516",NA,1,NA
"group_16519",5,NA,5
"group_16530",6,NA,6
"group_16531",7,NA,7
"group_16678",NA,1,NA
"group_16728",NA,NA,4
"group_16770",NA,1,NA
"group_16802",NA,1,NA
"group_16958",NA,NA,1
"group_16959",1,NA,NA
"group_1710",4,NA,NA
"group_1719",3,NA,NA
"group_17272",NA,NA,4
"group_17282",NA,1,NA
"group_17291",NA,2,NA
"group_17340",NA,NA,4
"group_17342",NA,1,NA
"group_17356",NA,2,NA
"group_17357",NA,1,NA
"group_17386",NA,2,NA
"group_17465",NA,2,NA
"group_17466",NA,2,NA
"group_17477",NA,1,NA
"group_17478",NA,1,NA
"group_17479",NA,1,NA
"group_17480",NA,1,NA
"group_1889",8,NA,NA
"group_1924",NA,5,5
"group_1925",NA,5,5
"group_1998",7,NA,NA
"group_2000",NA,1,NA
"group_2018",NA,1,NA
"group_2042",NA,NA,7
"group_2103",NA,NA,6
"group_2374",NA,NA,3
"group_2592",NA,NA,8
"group_2595",NA,NA,5
"group_2664",NA,3,NA
"group_2674",NA,13,NA
"group_2776",NA,1,NA
"group_2867",NA,1,NA
"group_2891",5,NA,5
"group_3032",NA,1,NA
"group_3060",2,NA,NA
"group_3245",7,NA,NA
"group_3256",NA,4,NA
"group_3289",NA,1,NA
"group_3312",4,4,NA
"group_3493",8,NA,NA
"group_3566",NA,1,NA
"group_3696",NA,1,NA
"group_3845",NA,5,5
"group_3846",NA,NA,4
"group_3849",7,NA,7
"group_3855",5,NA,5
"group_3857",2,NA,NA
"group_3921",7,NA,NA
