"","Gene","Annotation","amox_clauv_acid","ampicillin","cefalexin","cefazolin","cefovecin","cefpodoxime","ceftazidime","chloramphenicol","doxycycline","enrofloxacin","gentamicin","marbofloxacin","orbifloxacin","prado","tetracycline","trimeth_sulfameth"
"aac3","aac3","aminoglycoside 3-N-acetyltransferase;aminoglycoside N-acetyltransferase AAC(3)-IId",NA,6,NA,NA,NA,NA,NA,NA,NA,6,6,6,NA,NA,6,6
"aadA~~~aadA1","aadA~~~aadA1","AadA family aminoglycoside 3''-O-nucleotidyltransferase;ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1",NA,NA,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,4
"aadA1","aadA1","ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1",NA,NA,NA,4,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4
"aadA3","aadA3","ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA22;ANT(3'') family aminoglycoside nucleotidyltransferase;ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3;ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2",NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,4,4
"ampC","ampC","CMY2/MIR/ACT/EC family class C beta-lactamase;beta-lactamase;serine hydrolase",7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aph6I","aph6I","hypothetical protein;APH(6)-I family aminoglycoside O-phosphotransferase;aminoglycoside O-phosphotransferase APH(6)-Id",NA,6,NA,NA,NA,NA,NA,6,6,NA,NA,6,NA,NA,6,6
"cas1e","cas1e","CRISPR-associated protein Cas1;type I-E CRISPR-associated endonuclease Cas1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"cas2","cas2","type I-E CRISPR-associated endoribonuclease Cas2",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2
"cas3","cas3","CRISPR-associated helicase Cas3';CRISPR-associated helicase/endonuclease Cas3;CRISPR-associated endonuclease Cas3''",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"cas6e","cas6e","type I-E CRISPR-associated protein Cas6/Cse3/CasE",NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
"ccdB","ccdB","plasmid maintenance protein CcdB;cytotoxin;type II toxin-antitoxin system toxin CcdB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"chrA","chrA","chromate efflux transporter",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,5,5
"cpsG","cpsG","phosphomannomutase;phosphomannomutase CpsG",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA
"crcB","crcB","fluoride efflux transporter CrcB",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"dfrA12","dfrA12","trimethoprim-resistant dihydrofolate reductase DfrA12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"djlC","djlC","J domain-containing protein;co-chaperone DjlC;hypothetical protein",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dsdA","dsdA","D-serine ammonia-lyase",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,NA,NA,4
"elaD","elaD","deubiquitinase;protease elaD;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"eno","eno","phosphopyruvate hydratase;enolase",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"espX5~~~yjcF","espX5~~~yjcF","pentapeptide repeat-containing protein;T3SS effector pentapeptide repeat protein EspX5;pentapeptide repeat protein YjcF;hypothetical protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fdnG","fdnG","formate dehydrogenase-N subunit alpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
"floR","floR","chloramphenicol/florfenicol efflux MFS transporter FloR",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
